amplia gama  WIDE RANGE 
pasatiempo  PASTIME 
aportar  PROVIDE 
libertad  FREEDOM 
fortalecer a  EMPOWER 
descargo de responsabilidad  DISCLAIMER 
corredor  RACER 
colega  BUDDY 
mantenerse en forma  STAY IN SHAPE 
transporte  TRANSPORT 
tal como  SUCH AS 
orden jerárquico  PECKING ORDER 
la cima  THE TOP 
tótem  THE TOTEM POLE 
peatón  PEDESTRIAN 
la revés  THE OTHER WAY AROUND 
pillar/captar  CATCH 
juego de palabras  PUN 
gracioso juego de palabras  PUNNY 
motivarse/mentalizarse  GET PUMPED 
agarrar/captar  GET A GRASP ON 
inflar  BLOW UP/INFLATE 
cubrir  COVER 
agarrar/agarre  GRIP 
ganar  GAIN 
entendimiento  UNDERSTANDING 
aunque  EVEN THOUGH 
altibajos  UPS AND DOWNS 
negar  DENY 
moda/tendencia  CRAZE 
estadística  STATISTICS 
arrancar  KICK OFF 
fabricar  MANUFACTURE 
cada  EACH 
duda  DOUBT 
enorme  HUGE 
popularidad  POULARITY 
ambientalista  ECO-FRIENDLY 
conocer muy bien  NO STRANGER TO 
silla/montura  SADDLE 
contestar  RELPY 
tocar de nuevo  REPLAY 
mujeres  WOMEN 
sufragio  SUFFRAGE 
instrumental  INSTRUMENTAL 
derechos  RIGHTS 
juntarse  GET TOGETHER 
tripa cervecera  BEER BELLY 
un servidor  YOURS TRULY 
vitamina  VITAMIN 
la naturaleza  NATURE 
sentirse culpable  FEEL BAD 
selectivo  PICKY 
nublado/cubierto  OVERCAST 
consejo  A WORD TO THE WISE 
destinado a  BOUND TO 
tarde o temprano  SOONER OR LATER 
alumno  PUPIL 
definir  DEFINE 
término  TERM 
oír de  HEAR FROM 
particular  PRIVATE 
medir  GAUGE 
más impuestos  PLUS TAX 
tope/topar  CAP 
clon/clonar  CLONE 
para todos  TO GO AROUND 
hacer responsable a  HOLD ACCOUNTABLE 
ya que estamos  WHILE WE ARE ON/AT IT 
intimando  BONDING 
pasar tiempo  SPEND TIME 
forjar  FORGE 
recuerdos  MEMORIES 
aire libre  FRESH AIR 
mires como lo mires  HOWEVER YOU SLICE OR DICE IT 
enhorabuena  KUDOS 
inspirar  INSPIRE 
hija  DAUGHTER 
hábitos sanos  HEALTHY HABITS 
antecesor  PREDECESSOR 
cronología  TIMELINE 
práctico  PRACTICAL 
funcionario  CIVIL SERVANT 
traducir  TRANSLATE 
a todos los efectos  FOR ALL INTENTS AND PURPOSES 
propulsar/impulsar  PROPEL 
adelante  FORWARD 
bici antigua alta  HIGH-WHEELER 
vértigo  AFRAID OF HEIGHTS 
moneda/acuñar  COIN 
entre  IN BETWEEN 
salvo  SAFE 
caerse  FALL OFF 
mucho por caer  LONG WAY DOWN 
romper huesos  BREAK BONES 
rasguño  SCRAPE 
moratón  BRUISE 
avance  BREAKTHROUGH 
carreteras  ROADS 
pavimento  PAVING 
yo todo lo demás  AND ALL THAT JAZZ 
sacar  DRAW 
manivela  CRANK 
triste  SAD 
hacer público  MAKE PUBLIC 
enterarse  FIND OUT 
neumático de goma  RUBBER TIRE 
siglo  CENTURY 
equipado  EQUIPPED FOR 
en absoluto  AT ALL 
paso a paso  STEP BY STEP 
madera  WOOD 
hierro  IRON 
incómodo  UNCOMFORTABLE 
sinónimo  SYNONYM 
neumático  PNEUMATIC 
abogar por  ADVOCATE 
por encima de  ABOVE 
nivel del mar  SEA LEVEL 
económico  AFFORDABLE 
llevar a  LEAD TO 
próspero  THRIVING 
descenso  DECLINE 
mitad  HALF 
decrecer  DROP OFF 
medios  MEANS 
juguetes  TOYS 
niños  KIDS 
marchas  GEARS 
ponerse en marcha  GET GOING 
citar  QUOTE 
derechos civiles  CIVIL RIGHTS 
emancipar  EMANCIPATE 
regocijarse  REJOICE 
pasa por delante en bici  RIDE BY 
sufragio  SUFFRAGE 
alabar/dar elogios  PRAISE 
alentar  ENCOURAGE 
valentía  COURAGE 
respeto por sí mismo  SELF-RESPECT 
independencia  SELF-RELIANCE 
débil  FEEBLE 
estadista  STATESMAN 
científico  SCIENTIST 
académico  SCHOLAR 
supervivencia  SURVIVAL 
redescubrir  REDISCOVER 
nunca se te olvida  IT'S LIKE RIDING A BIKE 
viento  WIND 
dando latigazos  WHIP 
pelo  HAIR 
se nota  YOU CAN TELL 
con energía/chispa  BOUNCE IN STEP 
energía  PEP 
rango  LEVEL 
subestimar  UNDERESTIMATE 
psicológico  PSYCHOLOGICAL 
músculo  MUSCLE 
cuerpo  BODY 
relajarse  BLOW OFF STEAM/UNWIND 
estresado  STRESSED OUT 
trabajar sin descanso  BURN THE CANDLE AT BOTH ENDS 
cuidar de  TAKE CARE OF 
joven  YOUNG 
monociclo  UNICYCLE 
torpe  CLUMSY 
segundo  SECOND 
poner en equilibrio  BALANCE 
mimo  MIME 
payaso  CLOWN 
caerse  EAT IT 
doler  HURT 
quitar  REMOVE 
trasero  REAR 
rueda  WHEEL 
hecho  JOB DONE 
pragmático  PRAGMATIC 
triciclo  TRICYCLE 
prestar atención  PAY ATTENTION 
suceder  FALL INTO PLACE 
conocido  KNOWN 
infancia  CHILDHOOD 
algo/un poco  KINDA 
vuelta  COMEBACK 
padres  PARENTS 
cómodo  COMFORTABLE 
licra  SPANDEX 
promesa/prometer  PROMISE 
más lejos  FURTHER 
sirena  MERMAID 
asiento  SEAT 
dejar atrás  OUTGROW 
producir en masa  MASS-PRODUCED 
ceñirse a  STICK TO 
superficie  SURFACE 
pionero  TRAILBLAZER 
éxito inmediato  IMMEDIATE SUCCESS 
vender como churros  FLY OFF THE SHELVES 
eje  AXLE 
juntar/unir  JOIN 
viable  VIABLE 
hacerse popular  CATCH ON 
bicicleta estática  STATIONARY BIKE 
abrasador  SCORCHING HOT 
hacer a tope  YOUR HEART OUT 
opinión  TAKE/OPINION 
helado  FREEZING COLD 
serie  SERIES 
ponerse al día  CATCH UP ON 
colgar  HANG UP 
ropa  CLOTHES 
cinta de correr  TREADMILL 
dar frutos  COME TO FRUITION 
soñador  DREAMER 
manitas  JACK-OF-ALL-TRADES 
bajo el ala de  UNDER ONE'S WING 
tutelar/tutor  TUTOR 
enseñar/mentor  MENTOR 
boceto  SKETCH 
d.c.  AD 
disputado  DISPUTED 
década  DECADE 
construido  BUILT 
venganza/rencor no es bueno 2  WRONGS DON'T MAKE A RIGHT 
dañar  WRONG 
joder  SCREW OVER 
venganza  REVENGE 
colar  FLY 
tienda de bicicletas  BIKE SHOP 
segunda guerra mundial  WORLD WAR 2 
paracaidista  PARATROOPER 
equipo  EQUIPMENT 
campo de batalla  BATTLEFIELD 
tropas  TROOPS 
veces  TIMES 
maldito  DAMN 
robo  THEFT 
reinar  RULE 
denunciados por robo  REPORTED STOLEN 
por ciento  PERCENT 
viajes  TRIPS 
carril de bicicleta  BIKE LANE 
encuesta/encuestar  SURVEY 
holandés  DUTCH 
mayor de  OVER 
historia de amor  LOVE AFFAIR 
tornillos  SCREWS 
tuercas  NUTS 
tornillos  BOLTS 
lo básico  THE BARE BONES 
manillar  HANDLEBARS 
agarrar  GRAB 
manejar/dirigir  STEER 
frenos  BRAKES 
a nos ser que  UNLESS 
estructura  FRAME 
costar  GO FOR 
pavos  BUCKS 
cone le tiempo  EVENTUALLY 
montar a caballo  HORSEBACK RIDING 
montura de rueda  RIM 
radio/rayo  SPOKE 
el borde  THE EDGE 
amortiguadores  SHOCKS 
absorber  ABSORB 
lleno de baches  BUMPY 
equipo  GEAR 
kit de reparación de pinchazos  REPAIR KIT 
altamente  HIGHLY 
pinchazo  FLAT TIRE 
llevar encima  CARRY 
rueda de repuesto/michelín  SPARE TIRE 
por cierto  BY THE WAY 
botella de agua  WATER BOTTLE 
hidratado  HYDRATED 
casco  HELMET 
reflector  REFLECTOR 
ropa oscura  DARK CLOTHING 
músico  MUSICIAN 
a lo largo de los años  THROUGHOUT THE YEARS 
establecido  ESTABLISHED 
prueba/probar  TEST 
resistencia  ENDURANCE 
convocar/celebrar  HOLD 
etapa  STAGE 
pasar por  PASS THROUGH 
cerca  NEARBY 
sin embargo  HOWEVER 
acabar  WRAP UP 
pista/vía  TRACK 
camino  TRAIL 
vía férrea  RAILWAY 
readaptar  REPURPOSE 
la bomba  THE BOMB 
mil dólares  GRAND 
de segunda mano  SECOND HAND 
baratísimo  CHEAP AS CHIPS 
petróleo  GAS 
precio  PRICE 
